LeftTorque:-1000 ,RightTorque:-1000.23
LeftTorque:1000 ,RightTorque:1000.15
LeftTorque:-999.988 ,RightTorque:-543.138
LeftTorque:874.682 ,RightTorque:1000.09
LeftTorque:-1000 ,RightTorque:-1000.23
LeftTorque:1000 ,RightTorque:1000.15
LeftTorque:-999.996 ,RightTorque:-831.019
LeftTorque:1000 ,RightTorque:1000.15
LeftTorque:-999.995 ,RightTorque:-829.741
LeftTorque:927.142 ,RightTorque:1000.12
LeftTorque:-999.994 ,RightTorque:-826.233
LeftTorque:1000 ,RightTorque:1000.14
LeftTorque:-999.995 ,RightTorque:-843.189
LeftTorque:922.471 ,RightTorque:1000.12
LeftTorque:-999.993 ,RightTorque:-811.233
LeftTorque:1000 ,RightTorque:1000.14
LeftTorque:-999.995 ,RightTorque:-879.329
LeftTorque:933.474 ,RightTorque:1000.12
LeftTorque:-999.991 ,RightTorque:-757.898
LeftTorque:1000 ,RightTorque:1000.14
LeftTorque:-999.997 ,RightTorque:-983.987
LeftTorque:921.134 ,RightTorque:1000.12
LeftTorque:-999.986 ,RightTorque:-579.734
LeftTorque:1000 ,RightTorque:1000.13
LeftTorque:-999.997 ,RightTorque:-1000.2
LeftTorque:924.236 ,RightTorque:1000.12
LeftTorque:-999.993 ,RightTorque:-870.192
LeftTorque:999.997 ,RightTorque:1000.14
LeftTorque:-999.992 ,RightTorque:-804.968
LeftTorque:939.578 ,RightTorque:1000.11
LeftTorque:-999.994 ,RightTorque:-919.73
LeftTorque:999.996 ,RightTorque:1000.14
LeftTorque:-999.989 ,RightTorque:-723.882
LeftTorque:906.412 ,RightTorque:1000.1
LeftTorque:-999.995 ,RightTorque:-1000.2
LeftTorque:999.995 ,RightTorque:1000.14
LeftTorque:-999.987 ,RightTorque:-657.116
LeftTorque:965.174 ,RightTorque:1000.11
LeftTorque:-999.995 ,RightTorque:-1000.19
LeftTorque:974.68 ,RightTorque:1000.13
LeftTorque:-999.99 ,RightTorque:-799.36
LeftTorque:950.076 ,RightTorque:1000.11
LeftTorque:-999.994 ,RightTorque:-957.476
LeftTorque:999.542 ,RightTorque:1000.13
LeftTorque:-999.987 ,RightTorque:-682.554
LeftTorque:896.018 ,RightTorque:1000.09
LeftTorque:-999.994 ,RightTorque:-1000.19
LeftTorque:999.993 ,RightTorque:1000.13
LeftTorque:-999.99 ,RightTorque:-780.906
LeftTorque:997.851 ,RightTorque:1000.12
LeftTorque:-999.994 ,RightTorque:-1000.18
LeftTorque:925.26 ,RightTorque:1000.11
LeftTorque:-999.986 ,RightTorque:-630.183
LeftTorque:999.994 ,RightTorque:1000.12
LeftTorque:-999.994 ,RightTorque:-1000.18
