LeftTorque:-2994.02 ,RightTorque:-3003.87
LeftTorque:-2994.1 ,RightTorque:-3004.13
LeftTorque:-2994.22 ,RightTorque:-3004.37
LeftTorque:-2994.36 ,RightTorque:-3004.62
LeftTorque:-2994.5 ,RightTorque:-3004.87
LeftTorque:-2994.64 ,RightTorque:-3005.14
LeftTorque:-2994.77 ,RightTorque:-3005.42
LeftTorque:-2994.9 ,RightTorque:-3005.72
LeftTorque:-2995.02 ,RightTorque:-3006.04
LeftTorque:-2995.13 ,RightTorque:-3006.38
LeftTorque:-2995.25 ,RightTorque:-3006.73
LeftTorque:-2995.37 ,RightTorque:-3007.08
LeftTorque:-2995.5 ,RightTorque:-3007.44
LeftTorque:-2995.64 ,RightTorque:-3007.81
LeftTorque:-2995.78 ,RightTorque:-3008.17
LeftTorque:-2995.98 ,RightTorque:2992.06
LeftTorque:-2996.29 ,RightTorque:2992.45
LeftTorque:-2996.66 ,RightTorque:2992.9
LeftTorque:-2997.03 ,RightTorque:2993.42
LeftTorque:-2997.41 ,RightTorque:2993.98
LeftTorque:-2997.77 ,RightTorque:2994.55
LeftTorque:-2998.1 ,RightTorque:2995.11
LeftTorque:-2998.42 ,RightTorque:2995.65
LeftTorque:-2998.7 ,RightTorque:2996.16
LeftTorque:-2998.95 ,RightTorque:2996.63
LeftTorque:-2999.17 ,RightTorque:2997.05
LeftTorque:-2999.37 ,RightTorque:2997.44
LeftTorque:-2999.54 ,RightTorque:2997.78
LeftTorque:-2999.68 ,RightTorque:2998.08
LeftTorque:-2999.81 ,RightTorque:2998.34
LeftTorque:-2999.92 ,RightTorque:2998.57
LeftTorque:-3000.01 ,RightTorque:2998.77
LeftTorque:-3000.09 ,RightTorque:2998.94
LeftTorque:-3000.17 ,RightTorque:2999.08
LeftTorque:-3000.24 ,RightTorque:2999.21
LeftTorque:-3000.3 ,RightTorque:2999.31
LeftTorque:-3000.37 ,RightTorque:2999.4
LeftTorque:-3000.44 ,RightTorque:2999.48
LeftTorque:-3000.51 ,RightTorque:2999.55
LeftTorque:-3000.59 ,RightTorque:2999.62
LeftTorque:-3000.67 ,RightTorque:2999.68
LeftTorque:-3000.77 ,RightTorque:2999.73
LeftTorque:-3000.87 ,RightTorque:2999.79
LeftTorque:-3001 ,RightTorque:2999.85
LeftTorque:-3001.13 ,RightTorque:2999.92
LeftTorque:-3001.28 ,RightTorque:2999.99
LeftTorque:-3001.46 ,RightTorque:3000.06
LeftTorque:-3001.65 ,RightTorque:3000.15
LeftTorque:-3001.86 ,RightTorque:3000.25
LeftTorque:-3002.1 ,RightTorque:3000.36
LeftTorque:-3002.35 ,RightTorque:3000.49
LeftTorque:-3002.63 ,RightTorque:3000.63
LeftTorque:-3002.94 ,RightTorque:3000.79
LeftTorque:-3003.27 ,RightTorque:3000.97
LeftTorque:-3003.62 ,RightTorque:3001.16
LeftTorque:-3004 ,RightTorque:3001.37
LeftTorque:-3004.4 ,RightTorque:3001.61
LeftTorque:-3004.83 ,RightTorque:3001.86
LeftTorque:-3005.27 ,RightTorque:3002.14
LeftTorque:-3005.73 ,RightTorque:3002.43
LeftTorque:-3006.21 ,RightTorque:3002.75
LeftTorque:-3006.7 ,RightTorque:3003.08
LeftTorque:-3007.2 ,RightTorque:3003.43
LeftTorque:-3007.71 ,RightTorque:3003.79
LeftTorque:-3008.22 ,RightTorque:3004.17
LeftTorque:-3008.74 ,RightTorque:3004.55
LeftTorque:2994.17 ,RightTorque:3002.96
LeftTorque:2996.82 ,RightTorque:3001.58
LeftTorque:2998.58 ,RightTorque:3000.59
LeftTorque:2999.64 ,RightTorque:2999.95
LeftTorque:3000.21 ,RightTorque:2999.6
LeftTorque:3000.48 ,RightTorque:2999.44
LeftTorque:3000.56 ,RightTorque:2999.43
LeftTorque:3000.54 ,RightTorque:2999.5
LeftTorque:3000.47 ,RightTorque:2999.61
LeftTorque:3000.95 ,RightTorque:-3000.64
LeftTorque:3001.27 ,RightTorque:-3001.02
LeftTorque:3001.49 ,RightTorque:-3001.38
LeftTorque:3001.65 ,RightTorque:-3001.67
LeftTorque:3001.76 ,RightTorque:-3001.88
LeftTorque:3001.83 ,RightTorque:-3002.03
LeftTorque:3001.87 ,RightTorque:-3002.13
LeftTorque:3001.87 ,RightTorque:-3002.18
LeftTorque:3001.86 ,RightTorque:-3002.2
LeftTorque:3001.83 ,RightTorque:-3002.18
LeftTorque:3001.78 ,RightTorque:-3002.15
LeftTorque:3001.72 ,RightTorque:-3002.09
LeftTorque:3001.64 ,RightTorque:-3002.02
LeftTorque:3001.56 ,RightTorque:-3001.93
LeftTorque:3001.47 ,RightTorque:-3001.83
LeftTorque:3001.38 ,RightTorque:-3001.73
LeftTorque:3001.28 ,RightTorque:-3001.62
LeftTorque:3001.18 ,RightTorque:-3001.5
LeftTorque:3001.07 ,RightTorque:-3001.38
LeftTorque:3000.96 ,RightTorque:-3001.26
LeftTorque:3000.85 ,RightTorque:-3001.13
LeftTorque:3000.73 ,RightTorque:-3001
LeftTorque:3000.62 ,RightTorque:-3000.87
LeftTorque:3000.5 ,RightTorque:-3000.74
LeftTorque:3000.38 ,RightTorque:-3000.61
LeftTorque:3000.26 ,RightTorque:-3000.47
LeftTorque:3000.14 ,RightTorque:-3000.33
LeftTorque:3000.02 ,RightTorque:-3000.2
LeftTorque:2999.9 ,RightTorque:-3000.06
LeftTorque:2999.78 ,RightTorque:-2999.92
LeftTorque:2999.66 ,RightTorque:-2999.79
LeftTorque:2999.54 ,RightTorque:-2999.65
LeftTorque:2999.42 ,RightTorque:-2999.51
LeftTorque:2999.3 ,RightTorque:-2999.38
LeftTorque:2999.18 ,RightTorque:-2999.24
LeftTorque:2999.06 ,RightTorque:-2999.11
LeftTorque:2998.95 ,RightTorque:-2998.98
LeftTorque:2998.84 ,RightTorque:-2998.85
LeftTorque:2998.73 ,RightTorque:-2998.73
LeftTorque:2998.62 ,RightTorque:-2998.61
LeftTorque:2998.52 ,RightTorque:-2998.49
LeftTorque:2998.43 ,RightTorque:-2998.39
LeftTorque:2998.33 ,RightTorque:-2998.28
LeftTorque:2998.25 ,RightTorque:-2998.19
LeftTorque:2998.17 ,RightTorque:-2998.1
LeftTorque:2998.1 ,RightTorque:-2998.02
LeftTorque:2998.04 ,RightTorque:-2997.95
LeftTorque:2997.99 ,RightTorque:-2997.9
LeftTorque:2997.95 ,RightTorque:-2997.86
LeftTorque:2997.93 ,RightTorque:-2997.83
LeftTorque:2997.93 ,RightTorque:-2997.83
LeftTorque:2997.94 ,RightTorque:-2997.84
LeftTorque:2997.98 ,RightTorque:-2997.88
LeftTorque:2998.04 ,RightTorque:-2997.94
LeftTorque:2998.13 ,RightTorque:-2998.04
LeftTorque:2998.26 ,RightTorque:-2998.17
LeftTorque:2998.42 ,RightTorque:-2998.33
LeftTorque:2998.62 ,RightTorque:-2998.54
LeftTorque:2998.87 ,RightTorque:-2998.8
LeftTorque:2999.18 ,RightTorque:-2999.11
LeftTorque:3000.06 ,RightTorque:3000.14
LeftTorque:3000.65 ,RightTorque:2999.64
LeftTorque:3001.04 ,RightTorque:2999.31
LeftTorque:-2995.99 ,RightTorque:2996.7
LeftTorque:-2993.8 ,RightTorque:2995.07
LeftTorque:-2992.66 ,RightTorque:2994.3
LeftTorque:-2992.24 ,RightTorque:2994.11
LeftTorque:-2992.28 ,RightTorque:2994.27
LeftTorque:-2992.6 ,RightTorque:2994.64
LeftTorque:-2993.08 ,RightTorque:2995.11
LeftTorque:-2993.64 ,RightTorque:2995.62
LeftTorque:-2994.23 ,RightTorque:2996.13
LeftTorque:-2994.8 ,RightTorque:2996.61
LeftTorque:-2995.35 ,RightTorque:2997.06
LeftTorque:-2995.87 ,RightTorque:2997.46
LeftTorque:-2996.34 ,RightTorque:2997.82
LeftTorque:-2996.77 ,RightTorque:2998.14
LeftTorque:-2997.15 ,RightTorque:2998.42
LeftTorque:-2997.5 ,RightTorque:2998.67
LeftTorque:-2997.81 ,RightTorque:2998.89
